Land-Ocean: Northern Hemispheric Means
Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,J-D,D-N,DJF,MAM,JJA,SON
1880,-.37,-.53,-.25,-.32,-.08,-.18,-.21,-.29,-.26,-.33,-.45,-.41,-.31,***,***,-.21,-.23,-.35
1881,-.32,-.24,-.05,-.01,.02,-.35,.06,-.06,-.28,-.44,-.38,-.24,-.19,-.21,-.33,-.02,-.12,-.37
1882,.24,.20,.00,-.33,-.26,-.32,-.29,-.16,-.26,-.54,-.34,-.69,-.23,-.19,.07,-.20,-.26,-.38
1883,-.58,-.67,-.16,-.29,-.24,-.14,-.05,-.24,-.33,-.16,-.43,-.16,-.29,-.33,-.65,-.23,-.14,-.31
1884,-.18,-.10,-.64,-.60,-.37,-.44,-.41,-.51,-.46,-.46,-.59,-.48,-.44,-.41,-.15,-.54,-.45,-.50
1885,-1.02,-.47,-.25,-.50,-.60,-.46,-.35,-.43,-.41,-.38,-.39,-.13,-.45,-.48,-.66,-.45,-.41,-.39
1886,-.76,-.85,-.72,-.38,-.35,-.39,-.16,-.44,-.34,-.33,-.42,-.22,-.45,-.44,-.58,-.48,-.33,-.36
1887,-1.10,-.72,-.45,-.40,-.28,-.23,-.26,-.56,-.23,-.49,-.27,-.45,-.45,-.43,-.68,-.37,-.35,-.33
1888,-.50,-.62,-.65,-.24,-.17,-.04,-.03,-.23,-.21,-.05,-.02,-.25,-.25,-.27,-.52,-.35,-.10,-.09
1889,-.29,.27,-.03,.15,-.05,-.08,-.08,-.22,-.31,-.43,-.63,-.56,-.19,-.16,-.09,.02,-.13,-.46
1890,-.66,-.59,-.49,-.27,-.37,-.18,-.25,-.41,-.37,-.11,-.64,-.49,-.40,-.41,-.60,-.38,-.28,-.37
1891,-.47,-.68,-.17,-.37,-.16,-.14,-.14,-.14,-.09,-.29,-.53,-.03,-.27,-.31,-.55,-.23,-.14,-.30
1892,-.51,-.19,-.67,-.46,-.24,-.06,-.39,-.34,-.22,-.28,-.83,-.68,-.40,-.35,-.24,-.45,-.26,-.44
1893,-1.52,-.97,-.33,-.31,-.44,-.18,-.14,-.35,-.29,-.28,-.34,-.61,-.48,-.49,-1.05,-.36,-.23,-.31
1894,-.93,-.44,-.23,-.55,-.27,-.42,-.22,-.28,-.34,-.29,-.49,-.37,-.40,-.42,-.66,-.35,-.30,-.37
1895,-.71,-.82,-.51,-.20,-.31,-.22,-.20,-.28,-.07,-.10,-.14,-.24,-.32,-.33,-.63,-.34,-.23,-.10
1896,-.38,-.20,-.51,-.62,-.18,.06,-.02,-.12,-.15,.03,-.22,-.23,-.21,-.21,-.28,-.44,-.03,-.11
1897,-.42,-.43,-.41,-.07,.12,-.08,.02,-.08,-.08,-.17,-.27,-.30,-.18,-.18,-.36,-.12,-.05,-.17
1898,.02,-.47,-.81,-.30,-.29,-.10,-.13,-.20,-.20,-.38,-.52,-.28,-.30,-.31,-.25,-.47,-.15,-.37
1899,-.14,-.65,-.59,-.24,-.26,-.36,-.18,-.08,-.06,.04,.34,-.49,-.22,-.20,-.36,-.36,-.20,.10
1900,-.64,-.16,.04,-.12,-.05,-.12,-.13,-.10,-.04,.22,-.14,-.04,-.11,-.14,-.43,-.04,-.12,.01
1901,-.35,-.11,.26,.09,-.12,.00,.00,-.17,-.29,-.33,-.20,-.41,-.14,-.11,-.17,.07,-.06,-.27
1902,-.15,-.04,-.38,-.38,-.40,-.40,-.34,-.30,-.35,-.33,-.48,-.61,-.35,-.33,-.20,-.39,-.35,-.39
1903,-.25,.10,-.18,-.48,-.44,-.47,-.44,-.57,-.50,-.47,-.42,-.58,-.39,-.39,-.25,-.37,-.49,-.46
1904,-.78,-.63,-.47,-.52,-.45,-.50,-.60,-.55,-.65,-.40,-.10,-.36,-.50,-.52,-.66,-.48,-.55,-.38
1905,-.43,-.83,-.24,-.47,-.30,-.29,-.22,-.25,-.20,-.28,.08,-.18,-.30,-.32,-.54,-.34,-.25,-.13
1906,-.57,-.54,-.22,.03,-.26,-.12,-.27,-.18,-.25,-.18,-.41,.02,-.24,-.26,-.43,-.15,-.19,-.28
1907,-.59,-.74,-.32,-.46,-.59,-.52,-.41,-.40,-.41,-.20,-.56,-.58,-.48,-.43,-.44,-.46,-.44,-.39
1908,-.55,-.29,-.71,-.49,-.31,-.32,-.37,-.58,-.32,-.46,-.64,-.56,-.47,-.47,-.47,-.50,-.42,-.47
1909,-.95,-.47,-.68,-.67,-.50,-.53,-.46,-.36,-.38,-.34,-.12,-.59,-.50,-.50,-.66,-.62,-.45,-.28
1910,-.37,-.40,-.52,-.43,-.32,-.47,-.40,-.42,-.44,-.33,-.62,-.82,-.46,-.44,-.45,-.42,-.43,-.46
1911,-.71,-.60,-.65,-.47,-.47,-.36,-.40,-.44,-.39,-.20,-.21,-.31,-.43,-.48,-.71,-.53,-.40,-.27
1912,-.36,-.18,-.62,-.17,-.13,-.16,-.54,-.78,-.82,-.86,-.53,-.59,-.48,-.46,-.28,-.31,-.49,-.74
1913,-.58,-.66,-.49,-.52,-.57,-.51,-.53,-.47,-.44,-.40,-.16,.10,-.44,-.49,-.61,-.53,-.51,-.33
1914,.15,-.12,-.37,-.40,-.20,-.24,-.35,-.29,-.31,-.02,-.24,-.06,-.21,-.19,.04,-.32,-.30,-.19
1915,-.28,-.10,-.24,.06,-.01,-.14,-.10,-.17,-.22,-.28,-.04,-.24,-.15,-.13,-.15,-.06,-.14,-.18
1916,-.11,-.19,-.40,-.36,-.39,-.52,-.34,-.38,-.50,-.36,-.48,-1.14,-.43,-.36,-.18,-.38,-.41,-.45
1917,-.54,-.70,-.76,-.66,-.75,-.50,-.34,-.41,-.32,-.64,-.33,-1.07,-.58,-.59,-.79,-.72,-.41,-.43
1918,-.70,-.47,-.27,-.60,-.50,-.46,-.35,-.38,-.26,-.05,-.22,-.57,-.40,-.45,-.75,-.46,-.40,-.18
1919,-.39,-.40,-.39,-.25,-.43,-.40,-.34,-.31,-.20,-.10,-.49,-.56,-.35,-.36,-.45,-.36,-.35,-.26
1920,-.16,-.30,.00,-.22,-.22,-.27,-.26,-.32,-.36,-.40,-.46,-.72,-.31,-.29,-.34,-.15,-.28,-.41
1921,.17,-.10,-.12,-.18,-.26,-.15,-.04,-.31,-.19,-.01,-.12,-.13,-.12,-.17,-.22,-.18,-.17,-.11
1922,-.39,-.63,-.12,-.16,-.19,-.16,-.28,-.37,-.43,-.31,-.13,-.17,-.28,-.28,-.39,-.16,-.27,-.29
1923,-.18,-.48,-.40,-.54,-.40,-.25,-.30,-.29,-.18,.06,.15,.10,-.23,-.25,-.27,-.44,-.28,.01
1924,-.28,-.21,.02,-.27,-.07,-.20,-.23,-.27,-.23,-.24,.11,-.37,-.19,-.15,-.13,-.10,-.24,-.12
1925,-.28,-.37,-.23,-.17,-.22,-.27,-.27,-.21,-.06,-.10,.23,.23,-.14,-.19,-.34,-.21,-.25,.02
1926,.52,.18,.37,-.14,-.24,-.21,-.21,-.07,-.04,.06,.16,-.31,.01,.05,.31,.00,-.16,.06
1927,-.29,-.08,-.47,-.27,-.15,-.15,-.09,-.17,.02,.24,.09,-.37,-.14,-.13,-.23,-.30,-.13,.12
1928,.25,.08,-.23,-.33,-.18,-.33,-.12,-.20,-.17,-.09,.03,-.04,-.11,-.14,-.02,-.25,-.22,-.08
1929,-.56,-.80,-.19,-.36,-.28,-.40,-.36,-.21,-.21,-.02,-.03,-.66,-.34,-.29,-.47,-.28,-.32,-.09
1930,-.13,-.20,.11,-.16,-.20,-.13,-.04,.01,-.03,.02,.44,.08,-.02,-.08,-.33,-.09,-.05,.14
1931,.01,-.23,-.07,-.21,-.15,.14,.07,.09,.17,.37,.25,.10,.05,.04,-.05,-.14,.10,.26
1932,.38,-.20,-.21,.10,-.11,-.15,-.15,-.08,.10,.14,-.33,-.22,-.06,-.03,.09,-.07,-.13,-.03
1933,-.19,-.31,-.32,-.17,-.26,-.32,-.14,-.15,-.28,-.17,-.25,-.55,-.26,-.23,-.24,-.25,-.20,-.23
1934,-.15,.32,-.28,-.29,.08,-.02,-.04,-.10,-.14,.12,.26,.17,-.01,-.07,-.13,-.16,-.06,.08
1935,-.41,.56,.03,-.37,-.29,-.15,-.05,-.07,-.06,.11,-.32,-.17,-.10,-.07,.11,-.21,-.09,-.09
1936,-.29,-.51,-.12,-.06,-.01,.03,.08,.02,.06,.07,.14,.14,-.04,-.06,-.32,-.06,.04,.09
1937,.08,.24,-.23,-.07,.11,.14,.15,.15,.28,.32,.23,-.01,.12,.13,.15,-.06,.15,.28
1938,.35,.28,.34,.31,.02,-.07,-.03,.07,.15,.31,.30,-.13,.16,.17,.21,.22,-.01,.25
1939,.02,-.02,-.25,-.09,.00,-.01,.05,.08,.12,.06,.24,.77,.08,.01,-.04,-.11,.04,.14
1940,-.11,.13,.02,.27,.15,.16,.14,.06,.25,.27,.29,.34,.16,.20,.26,.15,.12,.27
1941,.17,.46,.12,.12,.23,.20,.25,.18,.10,.50,.17,.18,.22,.24,.32,.15,.21,.25
1942,.39,-.10,-.01,.08,.15,.09,-.02,-.09,.10,.27,.25,.26,.12,.11,.16,.07,.00,.21
1943,-.10,.37,-.01,.30,.22,-.08,-.03,.09,.13,.46,.36,.36,.17,.16,.18,.17,-.01,.31
1944,.62,.43,.31,.18,.23,.16,.14,.16,.36,.44,.19,-.01,.27,.30,.47,.24,.15,.33
1945,.11,-.06,.09,.29,.08,.07,.06,.28,.20,.24,.08,-.22,.10,.12,.02,.15,.14,.17
